ID	Gene.symbol	logFC	P.Value	adj.P.Val
1437356_at	Gpr183	4.19410537462828	8.55270184565824e-09	0.000230065583825015
1443933_at	Tc2n	2.5896349523208	3.19382452242485e-08	0.000356872800884181
1417818_at	Wwtr1	3.59660948840609	5.53405708626626e-08	0.000356872800884181
1417853_at	Clca3a1	3.22677464000388	5.85560839865175e-08	0.000356872800884181
1439862_at	Rorb	2.55945369605601	6.16763325914125e-08	0.000356872800884181
1427345_a_at	Sult1a1	2.8481873983269	7.57224168114679e-08	0.000356872800884181
1460039_at	Clec1a	3.08409363205647	7.81427218880385e-08	0.000356872800884181
1448961_at	Plscr2	4.17898565958192	7.91274696534846e-08	0.000356872800884181
1419666_x_at	Nupr1	3.02390883395474	1.63897476092396e-07	0.000568610774557165
1443832_s_at	Sdpr	2.08701390360905	1.7728359465779e-07	0.000571119100190072
1421096_at	Trpc1	3.39606572342667	3.08870302547184e-07	0.000870647469698783
1417852_x_at	Clca3a1	3.40751876265527	3.49646972562743e-07	0.000916600791561805
1425492_at	Bmpr1a	2.53836206611993	3.65819255628755e-07	0.000916600791561805
1416778_at	Sdpr	2.42923233995922	4.78178110288519e-07	0.00113506899748013
1457429_s_at	Sbspon	5.45500134186587	5.29660026634266e-07	0.0011373773126806
1441975_at	Acpp	2.28479653948936	5.62061116282754e-07	0.0011373773126806
1445723_at	Plcl1	2.32463401734716	5.8002434960763e-07	0.0011373773126806
1457691_at	Gpr183	3.30312471040579	6.7992485878881e-07	0.00122661164224936
1419665_a_at	Nupr1	3.24352157901383	7.52558270349387e-07	0.00125707890929732
1428136_at	Sfrp1	1.76982822302789	1.17539379092649e-06	0.00176704784548586
1437458_x_at	Clu	2.84932566646594	1.36852183103804e-06	0.00180155667808377
1454849_x_at	Clu	2.9023430090687	1.45289621319516e-06	0.00180155667808377
1428359_s_at	Zg16	4.33403723565549	1.53072124748156e-06	0.00180155667808377
1448785_at	Runx1t1	2.13821380156374	1.56154703507373e-06	0.00180155667808377
1418187_at	Ramp2	3.32134162220018	1.57950712741809e-06	0.00180155667808377
1437466_at	Alcam	1.92458017730108	1.59500687982796e-06	0.00180155667808377
1453357_at	Tdrd9	4.39102890812924	1.6116560911966e-06	0.00180155667808377
1416468_at	Aldh1a1	1.72111119328278	1.63774248467738e-06	0.00180155667808377
1456335_at	Sbspon	4.47747780961993	1.75998670179013e-06	0.00188993238660563
1420558_at	Selp	2.99862291218537	1.83780858407657e-06	0.00190197389303401
1417235_at	Ehd3	2.26042753877308	1.85554314302336e-06	0.00190197389303401
1450958_at	Tm4sf1	3.33293661973421	1.93224477150845e-06	0.00192065895044992
1439795_at	Adgrg2	2.68284256452532	2.06570126485043e-06	0.00194094151554207
1418934_at	Mab21l2	2.74928614427361	2.185507692507e-06	0.00197137164879516
1435858_at	Tmem215	3.30540220581666	2.53949605606199e-06	0.00217814591722627
1460632_at	Rdh10	1.66270771741309	2.54815059320197e-06	0.00217814591722627
1428358_at	Zg16	2.43796392349784	2.55962691765133e-06	0.00217814591722627
1418626_a_at	Clu	3.30191017388743	2.80926827184404e-06	0.00225466051577198
1452050_at	Camk1d	-2.17289456928828	2.82129446936245e-06	0.00225466051577198
1449588_at	Abca4	2.47251518755359	3.26176871684882e-06	0.00249337340506099
1418502_a_at	Oxr1	1.25611313371068	3.47522806462991e-06	0.00253439973701918
1428615_at	Lpar6	1.42968634646457	3.73733343110524e-06	0.00253439973701918
1418674_at	Osmr	3.69458685703189	3.86376757559262e-06	0.00253439973701918
1428614_at	Ldhd	1.58798232260528	3.8860680847918e-06	0.00253439973701918
1448873_at	Ocln	1.66926751022295	3.89868414012678e-06	0.00253439973701918
1426300_at	Alcam	1.54565251380487	3.9056713235111e-06	0.00253439973701918
1425702_a_at	Enpp5	2.4251415919053	3.90998038717959e-06	0.00253439973701918
1439078_at	Klhl4	1.66109369487994	3.96584888135964e-06	0.00253439973701918
1449379_at	Kdr	1.38967810437963	3.98976477968032e-06	0.00253439973701918
1417552_at	Fap	3.98956841625356	4.05367848412841e-06	0.00253923546267605
1425484_at	Tox	1.49584551468109	4.97326694055335e-06	0.00293757673678404
1449174_at	Art4	1.55719395568314	5.58905879003748e-06	0.0031509017561185
1460187_at	Sfrp1	1.89351568503337	5.6829433406257e-06	0.00316427688401925
1436568_at	Jam2	2.70065315705266	5.89412026473062e-06	0.00320277973565802
1417872_at	Fhl1	1.12896535950256	7.20701750652149e-06	0.00377957786699565
1421073_a_at	Ptger4	1.83578162783348	7.37479196853326e-06	0.00382310911003239
1425491_at	Bmpr1a	2.05822265312247	7.81812654228597e-06	0.00383260369137289
1423278_at	Ptprk	2.65760524091323	7.82366613947884e-06	0.00383260369137289
1449906_at	Selp	2.70551768844491	7.87950684455313e-06	0.00383260369137289
1434553_at	Tmem56	2.56163505822586	7.98351683508129e-06	0.00383260369137289
1426246_at	Pros1	1.20103693427398	7.98795474577175e-06	0.00383260369137289
1433707_at	Gabra4	3.12502273528939	8.13291494824598e-06	0.00386107996927202
1448383_at	Mmp14	1.72776122556682	9.56778328810126e-06	0.00435735984135254
1416779_at	Sdpr	2.60785419303459	9.81214788519885e-06	0.00435735984135254
1416996_at	Tbc1d8	1.28399489607178	1.00102995155813e-05	0.00438324775196343
1457632_s_at	Meis2	1.9840084213465	1.06047184340855e-05	0.00459887890476626
1454832_at	Phactr1	1.77215420947017	1.11111403211347e-05	0.0047726051392714
1419759_at	Abcb1a	1.32371474353796	1.14876094543457e-05	0.00488776107547591
1428613_at	Ldhd	1.60978985006793	1.20564788370758e-05	0.0050027100297645
1422557_s_at	Mt1	2.91893203771435	1.22014612375356e-05	0.0050027100297645
1452981_at	Cntn1	2.77011003678171	1.28573938228595e-05	0.00522415602526834
1425570_at	Slamf1	1.08004877115304	1.33230276783364e-05	0.00536501670822009
1426784_at	Trim47	1.29972585336947	1.39131081039584e-05	0.0055530538813861
1449408_at	Jam2	2.24427509199495	1.40628327388041e-05	0.00556357736274388
1437689_x_at	Clu	3.46302052305272	1.53008983987641e-05	0.0058981693904501
1434804_at	Exoc6b	1.23876377039994	1.61210573391734e-05	0.00605209447397542
1418892_at	Rhoj	1.80626238573367	1.62944585466737e-05	0.00605209447397542
1437467_at	Alcam	1.39926326962381	1.64654286915714e-05	0.00605209447397542
1439622_at	Rassf4	-1.58268738980442	1.70579234956316e-05	0.00608891333845599
1436171_at	Arhgap30	-1.38284727004065	1.71000972361735e-05	0.00608891333845599
1418501_a_at	Oxr1	1.39210971253866	1.71457837738389e-05	0.00608891333845599
1449740_s_at	Dsg2	2.17671600868119	1.73018153457566e-05	0.00609632167116383
1447693_s_at	Neo1	2.19099543012433	1.78320499097915e-05	0.00623444405412019
1418911_s_at	Acsl4	1.09294951934992	2.012198074157e-05	0.00682346957462818
1418872_at	Abcb1b	1.25270338398688	2.15640323794111e-05	0.00725790615181954
1457123_at	Nrg4	1.90246806103395	2.3472540977272e-05	0.00767126862765176
1416411_at	Gstm2	2.53455898751322	2.45544715329729e-05	0.00791022300434723
1436624_at	Dnm3	2.01866268813792	2.55636414099065e-05	0.00806255798061673
1431146_a_at	Cpne8	1.79411457180697	2.59815392252479e-05	0.00808133379722693
1449297_at	Casp12	1.03271506918213	2.6632980047025e-05	0.0082272194048005
1448390_a_at	Dhrs3	2.30374935939942	2.77117479283562e-05	0.00827700359812446
1422573_at	Ampd3	1.32115889636718	2.95630627820995e-05	0.00843270093304784
1434137_x_at	Zg16	3.27693707689561	2.96062117662313e-05	0.00843270093304784
1421182_at	Clec1b	1.4181645611165	2.97288186149887e-05	0.00843270093304784
1419392_at	Pclo	2.24363243047611	3.16152083782021e-05	0.00880171304361293
1425494_s_at	Bmpr1a	2.44523626911532	3.19179861083806e-05	0.00883149135873666
1424208_at	Ptger4	1.13797219133467	3.30849065367014e-05	0.00894025248209925
1421642_a_at	Cysltr2	1.71609883497644	3.33367078119452e-05	0.00894025248209925
1420404_at	Cd86	-1.59652101488865	3.4125451619829e-05	0.0089629078180633
1433741_at	Cd38	2.76946611735219	3.53565498586246e-05	0.00921743211083138
1448749_at	Plek	2.03292054191276	3.60526310436485e-05	0.00934488340631949
1435176_a_at	Id2	1.58374215584345	3.64296432445426e-05	0.00938864765698351
1415945_at	Mcm5	-1.02555130155846	3.8229716944997e-05	0.009685231323542
1420514_at	Tmem47	1.75239518408769	3.85345798979937e-05	0.009685231323542
1419669_at	Prtn3	1.3080026207507	3.8654168161184e-05	0.009685231323542
1455257_at	Itgb3	1.63298781793158	3.91634572934041e-05	0.00975862479220895
1452191_at	Prcp	1.1819939142114	4.07121341918498e-05	0.0100105302546204
1453851_a_at	Gadd45g	2.67548347635853	4.11521336799176e-05	0.0100105302546204
1456226_x_at	Ddr1	2.57038467904627	4.11864839799166e-05	0.0100105302546204
1428942_at	Mt2	2.21154802366684	4.46429620184848e-05	0.0105415823559983
1455772_at	Pgr	1.50484422372805	4.49559334994944e-05	0.0105601956081286
1421681_at	Nrg4	1.52863518643518	4.83414878572732e-05	0.0109599629312714
1439476_at	Dsg2	2.29207646627424	4.85029446070925e-05	0.0109599629312714
1435313_at	Cd200r4	0.933058462994771	4.86785651998039e-05	0.0109599629312714
1455234_at	B3galt1	1.78422196019186	4.86939866308895e-05	0.0109599629312714
1423722_at	Vmp1	1.33941725332149	4.90878808034593e-05	0.0109599629312714
1437784_at	Runx1t1	1.49568466499233	5.05260437817561e-05	0.0110907666273563
1430534_at	Rnase6	-1.31371514268766	5.06573673584929e-05	0.0110907666273563
1455340_at	Dennd5b	1.99392395443333	5.15021926478862e-05	0.0111913528276544
1433855_at	Abat	1.7596914612503	5.16130770526622e-05	0.0111913528276544
1424443_at	Tm6sf1	-1.50958895087228	5.21160024536273e-05	0.0111927801269573
1451507_at	Mef2c	1.03556057396809	5.42964047120625e-05	0.0114985826064716
1425792_a_at	Rorc	1.11752870772101	5.49810218372453e-05	0.0114985826064716
1449052_a_at	Dnmt3b	-0.987851366277674	5.5566890616804e-05	0.0114985826064716
1435701_at	Cyyr1	1.19768483163758	5.73010726436061e-05	0.0116772699798626
1426301_at	Alcam	1.25229844375048	5.90459780363964e-05	0.0117833303337147
1439527_at	Pgr	1.770493358917	5.97055244613327e-05	0.0118488855978871
1447640_s_at	Pbx3	1.18018432949362	6.11523197590211e-05	0.0118996140176311
1418472_at	Aspa	1.63733748373496	6.14755785039808e-05	0.0118996140176311
1440173_x_at	Selp	2.62136786722461	6.34527089157036e-05	0.0120796832788959
1452196_a_at	Nckap1	1.28625824737249	6.37450304954928e-05	0.0120796832788959
1438868_at	Phf11d	1.72094863496609	6.63360402875242e-05	0.0122688958756083
1425619_s_at	Dsg2	1.19125763950968	6.68845949705205e-05	0.012312498439859
1448233_at	Prnp	1.00095582362984	6.78496514004029e-05	0.0124393785683316
1436265_at	Gm10419	2.47194362677923	6.99758160844845e-05	0.0127257229081707
1436808_x_at	Mcm5	-1.01663960952387	7.10464167155215e-05	0.0128685318887017
1448748_at	Plek	1.55997576623598	7.47917610183106e-05	0.0132298703219107
1453181_x_at	Plscr1	1.072789176904	7.70489297720611e-05	0.0134169257978754
1456318_at	Clec1a	2.27851460902195	8.75255165822832e-05	0.014302493925281
1417962_s_at	Ghr	1.22459885290515	9.01031741809923e-05	0.014464087436803
1433919_at	Asb4	1.50734100365522	9.35915002521876e-05	0.0147589868981605
1417507_at	Cyb561	1.75306713542105	9.59663154007301e-05	0.0149763902798904
1450138_a_at	Serpinb6a	1.015335275734	9.98012047419232e-05	0.0154678148971322
1441396_at	B3galt1	1.18691213579314	0.000102222371303175	0.0157081980325774
1420664_s_at	Procr	0.771538880754468	0.000102397069279567	0.0157081980325774
1458866_at	Tmem215	1.49250516675945	0.00010361367702996	0.0158409506702652
1434931_at	Neo1	1.99079845588586	0.000105146796084967	0.0159950559796458
1452190_at	Prcp	0.816949975205544	0.000105330959977713	0.0159950559796458
1454745_at	Arhgap29	1.32298875760412	0.00010979019624185	0.0164427966520435
1438224_at	Zswim5	1.73142936817947	0.000111068945700312	0.0164780280264137
1455706_at	Stxbp4	1.37683394543661	0.00011415903489789	0.0167709662310414
1444615_x_at	Runx1t1	2.0464203759907	0.000117197067840365	0.0171058412837162
1420760_s_at	Ndrg1	1.00500213634637	0.000120809250155885	0.017576187068647
1417500_a_at	Tgm2	1.18566213671625	0.000124058129338654	0.0178278955976347
1448852_at	Rgn	2.39008652223754	0.000124120512131822	0.0178278955976347
1435820_x_at	Ddr1	1.18870207714722	0.000129886329747772	0.0182492316447173
1419758_at	Abcb1a	1.2932483866413	0.000134268908121379	0.0183326335822463
1439018_at	Fhdc1	1.40180230352311	0.000136221641872662	0.0183326335822463
1416053_at	Lrrn1	1.57321387852077	0.000137717535338829	0.0183326335822463
1456174_x_at	Ndrg1	0.932719315175158	0.000138609521996097	0.0183326335822463
1451063_at	Stxbp4	1.31335160009708	0.000139060563279081	0.0183385101299703
1435697_a_at	Cytip	0.90423680770685	0.00014403155649433	0.0187744717614185
1426004_a_at	Tgm2	1.34416257283762	0.000158997564446353	0.02006438863046
1427640_a_at	Runx1t1	0.87766969503154	0.000170395084206495	0.0207789192399652
1417900_a_at	Vldlr	2.27919518873457	0.000170574752581379	0.0207789192399652
